Long,Lat,Date,Cases
47.75,29.5,3/2/20,56
1.6596,28.0339,3/2/20,3
15.2,45.1,3/2/20,7
8.2275,46.8182,3/2/20,42
14.5501,47.5162,3/2/20,18
35.0,31.0,3/2/20,10
69.3451,30.3753,3/2/20,4
-51.9253,-14.235,3/2/20,2
43.3569,42.3154,3/2/20,3
21.8243,39.0742,3/2/20,7
21.7453,41.6086,3/2/20,1
8.4689,60.472,3/2/20,25
24.9668,45.9432,3/2/20,3
9.5018,56.2639,3/2/20,4
25.0136,58.5953,3/2/20,1
5.2913,52.1326,3/2/20,18
12.4578,43.9424,3/2/20,8
27.9534,53.7098,3/2/20,1
-19.0208,64.9631,3/2/20,6
23.8813,55.1694,3/2/20,1
-102.5528,23.6345,3/2/20,5
174.886,-40.9006,3/2/20,1
8.6753,9.082,3/2/20,1
115.8605,-31.9505,3/2/20,2
-7.6921,53.1424,3/2/20,1
6.1296,49.8153,3/2/20,1
7.4167,43.7333,3/2/20,1
51.1839,25.3548,3/2/20,3
-121.8339,48.033,3/2/20,4
-78.1834,-1.8312,3/2/20,6
47.5769,40.1431,3/2/20,3
15.472999999999999,49.8175,3/2/20,3
45.0382,40.0691,3/2/20,1
-70.1627,18.7357,3/2/20,1
113.9213,-0.7893,3/2/20,2
-8.2245,39.3999,3/2/20,2
1.5218,42.5063,3/2/20,1
145.9707,-41.4545,3/2/20,1
24.6032,56.8796,3/2/20,1
-7.0926,31.7917,3/2/20,1
45.0,24.0,3/2/20,1
-14.4524,14.4974,3/2/20,1
-71.82600000000001,43.9088,3/2/20,1
-82.3018,27.9904,3/2/20,1
-120.8039,39.0916,3/2/20,1
-122.3255,37.563,3/2/20,1
-122.9888,38.578,3/2/20,1
-118.7606,45.775,3/2/20,1
-84.3963,33.8034,3/2/20,0
-123.1386,45.547,3/2/20,2
-63.6167,-38.4161,3/2/20,0
-71.543,-35.6751,3/2/20,0
36.51,31.24,3/2/20,0
-71.1449,42.1767,3/2/20,0
-112.4291,33.2918,3/2/20,1
-78.5661,35.8032,3/2/20,0
-73.7949,41.122,3/2/20,0
31.1656,48.3794,3/2/20,0
-62.8333,17.9,3/2/20,0
-117.8531,33.7879,3/2/20,1
19.5033,47.1625,3/2/20,0
130.8456,-12.4634,3/2/20,0
-6.9118,61.8926,3/2/20,0
-5.3536,36.1408,3/2/20,0
9.55,47.14,3/2/20,0
19.1451,51.9194,3/2/20,0
9.0,34.0,3/2/20,0
-121.9018,37.8534,3/2/20,0
17.6791,43.9159,3/2/20,0
14.9955,46.1512,3/2/20,0
-74.077,40.9263,3/2/20,0
-95.3103,29.7752,3/2/20,0
-122.4194,37.7749,3/2/20,0
22.9375,-30.5595,3/2/20,0
-115.094,36.0796,3/2/20,0
-95.8143,29.5693,3/2/20,0
-119.3732,47.1981,3/2/20,0
-86.9824,30.769000000000002,3/2/20,0
-86.8622,35.9179,3/2/20,0
-74.006,40.7128,3/2/20,1
-77.2405,39.1547,3/2/20,0
-71.0589,42.3601,3/2/20,1
-104.9903,39.7392,3/2/20,0
-106.064,39.5912,3/2/20,0
90.4336,27.5142,3/2/20,0
11.5021,3.8480000000000003,3/2/20,0
-74.2973,4.5709,3/2/20,0
-83.7534,9.7489,3/2/20,0
-75.0152,-9.19,3/2/20,0
21.0059,44.0165,3/2/20,0
19.699,48.669,3/2/20,0
0.8248,8.6195,3/2/20,0
-79.1781,35.7211,3/2/20,0
-75.3879,39.9078,3/2/20,0
-96.1951,41.3148,3/2/20,0
-84.4803,38.0606,3/2/20,0
-86.1752,39.8362,3/2/20,0
-71.2874,42.4672,3/2/20,0
-73.5594,40.6546,3/2/20,0
-93.0616,44.9964,3/2/20,0
-119.6035,40.5608,3/2/20,0
-75.2479,41.6739,3/2/20,0
-121.9018,38.7646,3/2/20,0
-121.9552,37.3541,3/2/20,9
-53.1258,3.9339,3/2/20,0
14.3754,35.9375,3/2/20,0
-104.9389,39.2587,3/2/20,0
-71.4774,41.8882,3/2/20,2
-61.0242,14.6415,3/2/20,0
-121.7195,37.6017,3/2/20,0
-80.3659,26.1901,3/2/20,0
-81.9535,26.663,3/2/20,0
-111.2845,32.8162,3/2/20,0
-73.983,41.1489,3/2/20,0
-73.936,43.0324,3/2/20,0
-79.7848,32.7957,3/2/20,0
-122.5194,45.7466,3/2/20,0
-84.5641,33.8999,3/2/20,0
-112.0953,40.9629,3/2/20,0
-104.4723,38.9108,3/2/20,0
-157.8584,21.307,3/2/20,0
-122.7647,42.3345,3/2/20,0
-123.304,47.7425,3/2/20,0
-80.5883,34.3672,3/2/20,0
-121.6142,42.6953,3/2/20,0
-119.6963,37.2519,3/2/20,0
-122.1295,47.0676,3/2/20,0
-95.941,36.1593,3/2/20,0
25.4858,42.7339,3/2/20,0
73.2207,3.2028,3/2/20,0
-75.3879,40.229,3/2/20,0
90.3563,23.685,3/2/20,0
-77.2405,38.9085,3/2/20,0
-71.0498,42.9931,3/2/20,0
-77.0369,38.9072,3/2/20,0
-58.4438,-23.4425,3/2/20,0
-73.1822,42.3118,3/2/20,0
-86.822,36.1343,3/2/20,0
-123.2492,43.1261,3/2/20,0
-119.2321,36.9859,3/2/20,0
-76.3637,39.5839,3/2/20,0
-86.5401,39.8065,3/2/20,0
-74.0535,40.7453,3/2/20,0
-94.8521,38.8454,3/2/20,0
-120.9319,47.175,3/2/20,0
-82.3452,27.4799,3/2/20,0
-122.5927,44.8446,3/2/20,0
-86.6611,30.5773,3/2/20,0
-85.1479,34.0132,3/2/20,0
-117.3961,33.9533,3/2/20,0
-89.9253,35.1269,3/2/20,0
-90.4125,38.6103,3/2/20,0
-72.6151,40.9849,3/2/20,0
-74.3118,41.8586,3/2/20,0
-81.0755,29.028000000000002,3/2/20,0
-85.3232,51.2538,3/2/20,18
-116.5765,53.9333,3/2/20,0
-73.5491,52.9399,3/2/20,1
-91.5984,41.6699,3/2/20,0
20.1683,41.1533,3/2/20,0
33.4299,35.1264,3/2/20,0
-84.3542,38.4333,3/2/20,0
114.7277,4.5353,3/2/20,0
-73.135,43.0279,3/2/20,0
-93.7842,44.8254,3/2/20,0
-81.9098,26.8946,3/2/20,0
-84.4803,34.2515,3/2/20,0
-96.493,33.1795,3/2/20,0
-85.6435,38.1938,3/2/20,0
-90.1121,29.6499,3/2/20,0
-121.8474,40.7909,3/2/20,0
-81.9535,34.8606,3/2/20,0
53.0,32.0,3/2/20,1501
128.0,36.0,3/2/20,4335
-121.4905,47.4009,3/2/20,0
-74.9481,42.1657,3/2/20,0
-119.6816,36.1162,3/2/20,0
114.2,22.3,3/2/20,100
-71.5301,42.2302,3/2/20,0
121.0,23.7,3/2/20,41
139.638,35.4437,3/2/20,45
108.0,16.0,3/2/20,16
35.2332,31.9522,3/2/20,0
-122.6655,37.6489,3/2/20,0
-83.6431,33.0406,3/2/20,0
-105.3111,39.0598,3/2/20,0
-81.6868,27.7663,3/2/20,0
-74.521,40.2989,3/2/20,0
-122.0709,44.571999999999996,3/2/20,0
-97.5635,31.0545,3/2/20,0
-88.9861,40.3495,3/2/20,0
-77.2098,40.5908,3/2/20,0
113.55,22.1667,3/2/20,10
90.0,60.0,3/2/20,3
-93.2105,42.0115,3/2/20,0
-76.8021,39.0639,3/2/20,0
-79.8064,35.6301,3/2/20,0
-80.945,33.8569,3/2/20,0
-86.6923,35.7478,3/2/20,0
-78.17,37.7693,3/2/20,0
-111.4312,33.7298,3/2/20,0
-86.2583,39.8494,3/2/20,0
-84.6701,37.6681,3/2/20,0
-77.0268,38.8974,3/2/20,0
-117.0554,38.3135,3/2/20,0
-71.5639,43.4525,3/2/20,0
28.3699,47.4116,3/2/20,0
-93.9002,45.6945,3/2/20,0
-98.2681,41.1254,3/2/20,0
-82.7649,40.3888,3/2/20,0
-71.5118,41.6809,3/2/20,0
-89.6165,44.2685,3/2/20,0
-63.0501,18.0708,3/2/20,0
-72.7554,41.5978,3/2/20,0
-157.4983,21.0943,3/2/20,0
-96.9289,35.5653,3/2/20,0
-111.8624,40.15,3/2/20,0
-1.5616,12.2383,3/2/20,0
-2.3644,49.3723,3/2/20,0
12.4534,41.9029,3/2/20,0
103.8467,46.8625,3/2/20,0
-80.7821,8.538,3/2/20,0
-96.7265,38.5266,3/2/20,0
-91.8678,31.1695,3/2/20,0
-92.2884,38.4561,3/2/20,0
-72.7107,44.0459,3/2/20,0
-152.4044,61.3707,3/2/20,0
-92.3731,34.9697,3/2/20,0
-75.5071,39.3185,3/2/20,0
-114.4788,44.2405,3/2/20,0
-69.3819,44.6939,3/2/20,0
-84.5361,43.3266,3/2/20,0
-89.6787,32.7416,3/2/20,0
-110.4544,46.9219,3/2/20,0
-106.2485,34.8405,3/2/20,0
-99.78399999999999,47.5289,3/2/20,0
-99.4388,44.2998,3/2/20,0
-80.9545,38.4912,3/2/20,0
-107.3025,42.756,3/2/20,0
-122.6413,47.6477,3/2/20,0
-121.9018,38.3105,3/2/20,0
-121.958,37.0454,3/2/20,0
-122.2654,38.5025,3/2/20,0
-119.1391,34.3705,3/2/20,0
-71.8571,42.4097,3/2/20,0
-84.0167,33.9191,3/2/20,0
-84.2279,33.7956,3/2/20,0
-82.7779,37.5455,3/2/20,0
-84.4803,33.4502,3/2/20,0
-94.8521,32.4893,3/2/20,0
-74.124,40.2589,3/2/20,0
